label,english_model_label,english_mode,mandarin_model_label,mandarin_mode,variant_english,variant_mandarin,same_variant,matching_recorded_mode,profile_correlation_en_zh,mean_abs_z_shift,evidence_status,interpretation_limit
Opus 4.8,opus-4.8,not_recorded,claude-opus-4-8,base,lente_A,lente_A,True,True,0.96939,0.231736,exploratory_matched_reanalysis,One translated prompt variant; MFQ collection-code provenance is incomplete and exact provider identifiers differ for some families.
GPT 5.5 — high reasoning,gpt-5.5,high,gpt-5.5,high,lente_A,lente_A,True,True,0.969086,0.219397,exploratory_matched_reanalysis,One translated prompt variant; MFQ collection-code provenance is incomplete and exact provider identifiers differ for some families.
DeepSeek Reasoner,deepseek-v4-pro,thinking,deepseek-reasoner,thinking,lente_A,lente_A,True,True,0.921486,0.349661,exploratory_matched_reanalysis,One translated prompt variant; MFQ collection-code provenance is incomplete and exact provider identifiers differ for some families.
GLM 5.2 — xhigh,glm-5.2,xhigh,glm-5.2,xhigh,lente_A,lente_A,True,True,0.941367,0.244467,exploratory_matched_reanalysis,One translated prompt variant; MFQ collection-code provenance is incomplete and exact provider identifiers differ for some families.
Fable 5 — adaptive,claude-fable-5,adaptive,claude-fable-5,adaptive,lente_A,lente_A,True,True,0.98512,0.123304,exploratory_matched_reanalysis,One translated prompt variant; MFQ collection-code provenance is incomplete and exact provider identifiers differ for some families.
