item_id,scenario_label_es,option_1,option_2,option_3,source,source_doi,administered_text_sha256,public_text_status
DIL3OP_01_bonos,Bono de empresa,merit,equality,need,"Project-authored three-option extension based on proposal types appearing in Meindl et al. (2019), Table S2.",10.1080/01973533.2019.1663524,595c7b6c3e069e71b95c5bb8016d8da4e3cf13f5b1c07cfe6eb8ae724e5b4e80,OMITTED conservatively; full wording remains in the private research archive.
DIL3OP_03_fondos,Fondos de fundación benéfica,equality,need,merit,"Project-authored three-option extension based on proposal types appearing in Meindl et al. (2019), Table S2.",10.1080/01973533.2019.1663524,95b92a6563835391e45eb5c0e88d325b85f5e21ceceddd302bb81163938ba53c,OMITTED conservatively; full wording remains in the private research archive.
DIL3OP_07_sede,Sede de evento deportivo,need,merit,equality,"Project-authored three-option extension based on proposal types appearing in Meindl et al. (2019), Table S2.",10.1080/01973533.2019.1663524,3a3a238b2d11ed877255576b2490db101ec0f6fe8a0bdbb915daf1679723bee8,OMITTED conservatively; full wording remains in the private research archive.
